sample,replicate
hg34neg.leukaemic.R1.hisat,R1
hgcmp.normal.R1.hisat ,R1
hgcmp.normal.R2.hisat,R2
hgcmp.normal.R3.hisat,R3
hggmp.leukaemic.R1.hisat,R1
hggmp.leukaemic.R10.hisat,R10
hggmp.leukaemic.R11.hisat,R11
hggmp.leukaemic.R12.hisat,R12
hggmp.leukaemic.R13.hisat ,R13
hggmp.leukaemic.R15.hisat,R15
hggmp.leukaemic.R16.hisat,R16
hggmp.leukaemic.R17.hisat,R17
hggmp.leukaemic.R2.hisat,R2
hggmp.leukaemic.R3.hisat,R3
hggmp.leukaemic.R4.hisat,R4
hggmp.leukaemic.R5.hisat,R5
hggmp.leukaemic.R6.hisat,R6
hggmp.leukaemic.R7.hisat,R7
hggmp.leukaemic.R8.hisat,R8
hggmp.leukaemic.R9.hisat,R9
hggmp.normal.R1.hisat        ,R1
hggmp.normal.R2.hisat,R2
hggmp.normal.R3.hisat,R3
hghsc.normal.R1.hisat,R1
hghsc.normal.R2.hisat     ,R2
hghsc.normal.R3.hisat,R3
hglmpp.leukaemic.R1.hisat,R1
hglmpp.leukaemic.R10.hisat,R10
hglmpp.leukaemic.R11.hisat,R11
hglmpp.leukaemic.R12.hisat,R12
hglmpp.leukaemic.R13.hisat,R13
hglmpp.leukaemic.R14.hisat,R14
hglmpp.leukaemic.R15.hisat,R15
hglmpp.leukaemic.R16.hisat,R16
hglmpp.leukaemic.R17.hisat,R17
hglmpp.leukaemic.R2.hisat,R2
hglmpp.leukaemic.R3.hisat,R3
hglmpp.leukaemic.R4.hisat,R4
hglmpp.leukaemic.R5.hisat,R5
hglmpp.leukaemic.R6.hisat,R6
hglmpp.leukaemic.R7.hisat,R7
hglmpp.leukaemic.R8.hisat,R8
hglmpp.leukaemic.R9.hisat   ,R9
hglmpp.normal.R1.hisat,R1
hglmpp.normal.R2.hisat,R2
hglmpp.normal.R3.hisat,R3
hgmep.normal.R1.hisat    ,R1
hgmep.normal.R2.hisat,R2
hgmep.normal.R3.hisat,R3
hgmlp.leukaemic.R17.hisat,R17
hgmlp.normal.R1.hisat   ,R1
hgmlp.normal.R2.hisat,R2
hgmlp.normal.R3.hisat       ,R3
hgmpp.normal.R1.hisat,R1
hgmpp.normal.R2.hisat,R2
hgmpp.normal.R3.hisat,R3
